给煤量,主蒸汽压力,炉膛出口烟温度,主蒸汽温度,机组负荷,给水温度,给水流量,一次风量,二次风量,二次风温,含氧量
149.8934869447,11.864935323279086,142.23601626402652,538.890625,348.69656196588517,240.70988290431603,943.7084977558421,418.8371018012365,483.84269797024376,286.14424612141295,3.7057926832133554
149.8154042225396,11.905284255122563,142.69895670964166,539.3056562741598,349.24247644581953,240.7735640359532,944.1013746016407,417.3703512014707,485.04619302800165,286.1306369507828,3.6857274921645478
149.73732150037918,11.918048758906359,142.80712978656476,539.484375,349.75013350289345,240.83724516759037,945.5605333273317,420.18748476686477,486.384250704769,286.1170277801526,3.659898607239317
149.65923877821882,11.930813262690151,142.91530286348785,539.484375,350.65766357302823,240.9009262992275,932.099099942217,420.1875,484.6111907200149,286.10341860952235,3.6402234715038
149.31407312699423,11.943577766473947,143.02347594041086,539.484375,351.4530397813241,240.96460743086465,930.8560161867841,420.1875,486.3652448967663,286.0898094388922,3.63979197410745
148.94680002457858,11.95634227025774,143.37469838429362,539.8666406472524,352.39232031935535,241.0282885625018,927.4919819077683,415.9377625669288,485.6463515317754,286.07620026826197,3.6368928545517236
148.81619396805962,11.969106774041535,144.171875,540.03125,352.6995580470435,241.09196969413898,930.2900560147413,419.9374874228986,484.1446336083512,286.06259109763175,3.6339937349959968
148.7560031205523,11.98187127782533,144.171875,540.03125,353.283037539528,241.15565082577615,935.4460657820655,422.6430158456167,484.47647184001914,286.0489819270016,3.6310946154402703
149.48525788818415,11.994635781609123,144.171875,540.03125,353.55245899358454,241.2193319574133,933.4510376732459,425.359375,485.4447666369963,286.0353727563713,3.6282741066104927
149.99776880874114,12.007400285392919,144.37319006803446,540.1404687563578,351.8307434994014,241.2830130890504,925.9351098722109,425.359375,484.0922066381653,286.0217635857412,3.6280715021168732
150.17798181838376,12.020164789176714,144.99351409298458,540.1875,353.3098516066869,241.34669422068757,945.5395313580831,425.88828125,484.796351536115,286.008154415111,3.629142519365885
150.17324704691794,12.032929292960507,144.9895071690409,540.1875,355.2234375,241.41037535232473,941.0890625,427.58671875,484.503515625,285.9945452444807,3.6136728545342067
150.18811472450594,12.111345187557083,144.98550024509717,540.1875,356.9218190570882,241.4740564839619,930.39375,424.0773513642771,486.9817177116895,285.98093607385056,3.5816126710057
150.20298240209397,12.15664001156481,144.98149332115347,540.23125,357.2766184429118,241.53773761559907,941.5417916615804,421.6297521742361,485.926246231792,285.9673269032204,3.5733502825215253
150.21785007968197,12.169973582210616,144.97748639720976,540.25,357.33125,241.6014187472362,952.090625,419.43828125,492.216015625,285.9537177325901,3.5558984440705736
150.23271775727,12.183307152856418,144.97347947326608,540.25,357.61328125,241.66509987887338,949.890625,417.828125,489.034375,285.94010856195996,3.5469576499264477
150.24758543485802,12.196640723502222,144.96947254932235,540.25,357.69765625,241.72878101051055,955.7,421.125,491.171484375,285.92649939132974,3.5458249005632676
150.26245311244602,12.209974294148026,144.72160707640387,539.9878749847412,357.9936541557312,241.7924621421477,945.9211824973424,419.903370988369,492.7867630832576,285.9128902206995,3.5448640573888137
150.27732079003403,12.223307864793828,143.95317792522468,539.875,358.08124947269914,241.84948430650985,946.6982498168945,418.8671875,492.58522171501727,285.89928105006936,3.5305680828094306
150.29218846762205,12.236641435439633,143.9290276778733,539.875,357.84658644477366,241.87618144276632,951.2881724589253,425.2374456008275,493.80166985727317,285.88567187943914,3.5291483937446784
150.30705614521005,12.249975006085435,143.90487743052196,539.875,357.4504374821981,241.89914831023617,956.0561788114167,424.04933567841846,493.8322574939314,285.8720627088089,3.5198757523430455
150.32192382279808,12.26330857673124,143.88072718317062,539.623796860377,356.9905625025431,241.92211517770608,947.6857561006642,424.22140645980835,493.7361948498067,285.85845353817876,3.5218524729166885
150.33679150038614,12.276642147377043,143.85657693581925,539.515625,352.69364256245933,241.94508204517595,944.8351735371051,424.7421875,493.19308296027305,285.8448443675485,3.5272108543563143
150.3516591779741,12.289975718022847,143.83242668846788,539.515625,352.87798578229587,241.96804891264583,948.8078199904633,424.7421875,493.4924838119749,285.8312351969183,3.5430348683157207
150.36652685556214,12.30330928866865,143.8082764411165,539.515625,356.7864213456331,241.9910157801157,950.3549561769743,424.7421875,498.17554813250854,285.81762602628817,3.551902164608132
150.38139453315017,12.316642859314452,143.78412619376516,539.1224374771118,357.61947626872836,242.01398264758558,948.6493053776807,423.78054758310316,497.6487560524407,285.8040168556579,3.5552147242531156
150.39626221073814,12.329976429960258,143.7599759464138,538.953125,357.93474848498664,242.03694951505548,943.2631492025786,423.671875,498.8594590693991,285.7904076850277,3.563396862604406
150.4111298883262,12.34331000060606,143.73582569906245,538.953125,357.7075223238119,242.05991638252533,946.1309406202888,423.671875,500.98753805944284,285.77679851439757,3.584491227651627
150.42599756591417,12.355415098667997,143.71167545171107,538.953125,357.39664946243926,242.08288324999523,958.9670059440675,420.567365026474,498.47121659968536,285.7631893437673,3.6235925882869933
150.5399909769421,12.361881460906814,143.6875252043597,538.6036249796549,357.067696944588,242.10585011746508,955.9608183824508,422.4522346019745,498.2254943926589,285.74958017313713,3.6307246700159594
151.04190538514607,12.367647558689583,143.66337495700833,538.453125,357.78884268476963,242.12881698493499,957.7300096707057,426.08203125,495.6504837179232,285.7359710025069,3.648179265071793
151.9212758770047,12.373413656472353,143.639224709657,538.453125,356.33125,242.1517838524048,952.859375,429.1484375,503.962109375,285.7223618318767,3.658140040494018
152.60880435315337,12.37917975425512,143.61507446230564,538.453125,358.1163563481675,242.17475071987474,957.6796399265002,430.03984375,504.7073436241442,285.70875266124654,3.6924193345265155
152.9392439540167,12.384945852037886,143.59092421495427,538.2508397420247,360.8942803349979,242.19771758734467,958.9830387962887,428.671875,503.5148972452773,285.6951434906163,3.7072539104118234
153.46521696081152,12.390711949820657,143.5667739676029,538.046875,361.62572698209743,242.2206844548145,970.1708340284725,433.40234375,506.4712883549742,285.6815343199861,3.72222848522746
153.59881058801864,12.396478047603425,143.54262372025153,538.046875,361.85,242.2436513222844,965.265625,428.6515625,506.08828125,285.66792514935594,3.7196616384138497
